user_db_id,indiv_count,field_count,asp_top_count,asp_mid_count,asp_low_count,asp_none_count,gender,institution_bin_3,institution_bin_10,career_stage,field,domain
197091,2,1,True,True,True,False,0.0,3.0,9.0,Full Professor,Chemistry,STEM
197182,2,1,True,True,False,True,0.0,2.0,5.0,Associate Professor,Economics,Non-STEM
197224,3,0,False,True,True,True,1.0,1.0,1.0,Full Professor,Biology,STEM
197244,4,3,True,True,True,False,1.0,1.0,3.0,Associate Professor,Biology,STEM
197249,1,0,False,True,True,True,0.0,3.0,8.0,Full Professor,Biology,STEM
197290,3,1,True,True,False,True,1.0,,,Full Professor,Computer science,STEM
197353,1,0,False,True,True,True,1.0,3.0,9.0,Full Professor,Biology,STEM
197387,0,1,False,True,True,True,0.0,3.0,9.0,Full Professor,Biology,STEM
197461,2,0,False,True,True,True,1.0,2.0,4.0,Full Professor,Biology,STEM
197489,0,1,False,True,False,True,1.0,2.0,6.0,Full Professor,Philosophy,Non-STEM
197548,4,2,True,True,True,False,1.0,1.0,1.0,Full Professor,Physics,STEM
197557,1,0,False,True,True,True,0.0,,,Associate Professor,Business,Non-STEM
197694,0,0,False,False,False,True,0.0,3.0,8.0,Full Professor,Medicine,STEM
197726,1,0,False,True,False,True,0.0,3.0,9.0,Associate Professor,Biology,STEM
197738,5,2,True,True,True,False,0.0,2.0,6.0,Full Professor,Biology,STEM
197764,3,0,True,True,True,False,1.0,3.0,10.0,Associate Professor,Psychology,Non-STEM
197778,3,0,True,True,False,True,0.0,2.0,5.0,Associate Professor,Philosophy,Non-STEM
197802,3,1,True,True,True,False,0.0,2.0,5.0,Assistant Professor,Biology,STEM
197810,2,0,True,False,False,True,0.0,,,Associate Professor,Business,Non-STEM
197941,4,2,True,True,False,True,1.0,1.0,3.0,Associate Professor,Computer science,STEM
197990,1,0,True,True,False,True,0.0,,,Associate Professor,Computer science,STEM
197993,3,2,False,True,True,True,0.0,1.0,2.0,Full Professor,Biology,STEM
198019,5,0,True,True,True,False,1.0,2.0,7.0,Associate Professor,Biology,STEM
198022,2,0,True,True,True,False,0.0,2.0,5.0,Full Professor,Psychology,Non-STEM
198062,1,2,False,False,False,True,1.0,1.0,4.0,Associate Professor,Physics,STEM
198088,0,0,False,True,True,True,0.0,2.0,6.0,Full Professor,Economics,Non-STEM
198089,1,0,True,True,True,False,,,,Full Professor,History,STEM
198105,2,0,False,True,False,True,,,,Associate Professor,History,STEM
198117,5,0,True,True,True,False,0.0,1.0,4.0,Associate Professor,Engineering,STEM
198213,2,0,True,True,True,False,0.0,1.0,3.0,Full Professor,Mathematics,STEM
198264,2,2,True,True,True,False,0.0,,,Associate Professor,Business,Non-STEM
198296,1,1,False,True,True,True,0.0,1.0,3.0,Full Professor,Philosophy,Non-STEM
198316,5,0,True,True,True,False,0.0,1.0,3.0,Full Professor,Mathematics,STEM
198327,0,0,False,False,True,True,0.0,2.0,4.0,Associate Professor,Economics,Non-STEM
198372,2,0,True,True,False,True,0.0,2.0,5.0,Full Professor,Medicine,STEM
198385,0,1,False,True,False,True,1.0,1.0,4.0,Full Professor,Sociology,Non-STEM
198393,1,0,True,True,True,False,1.0,3.0,8.0,Full Professor,Sociology,Non-STEM
198427,2,1,False,True,True,True,1.0,3.0,9.0,Associate Professor,Biology,STEM
198461,3,0,True,True,True,False,0.0,1.0,1.0,Full Professor,Engineering,STEM
198505,5,0,True,True,True,False,1.0,2.0,4.0,Full Professor,Psychology,Non-STEM
198585,3,0,True,True,True,False,0.0,,,Full Professor,Computer science,STEM
198604,0,2,True,True,True,False,0.0,2.0,4.0,Associate Professor,Psychology,Non-STEM
198608,1,0,True,False,True,True,0.0,,,Associate Professor,Computer science,STEM
198623,3,2,False,True,True,True,1.0,2.0,7.0,Associate Professor,Physics,STEM
198629,4,0,False,True,True,True,0.0,3.0,9.0,Associate Professor,History,STEM
198665,3,0,True,True,True,False,1.0,1.0,3.0,Full Professor,Engineering,STEM
198749,5,2,True,False,True,True,0.0,1.0,4.0,Full Professor,Biology,STEM
198780,3,2,True,True,True,False,0.0,2.0,4.0,Full Professor,Physics,STEM
198833,3,0,True,True,False,True,0.0,2.0,6.0,Associate Professor,Computer science,STEM
198884,3,0,True,True,True,False,1.0,3.0,9.0,Full Professor,Sociology,Non-STEM
198912,1,0,False,True,True,True,1.0,2.0,6.0,Associate Professor,History,STEM
198954,2,0,True,True,False,True,1.0,1.0,3.0,Full Professor,Engineering,STEM
198994,4,3,True,True,False,True,0.0,2.0,5.0,Full Professor,Chemistry,STEM
199053,3,0,True,False,True,True,0.0,1.0,3.0,Associate Professor,Psychology,Non-STEM
199165,2,1,True,True,True,False,0.0,2.0,5.0,Full Professor,Chemistry,STEM
199176,1,0,True,False,False,True,0.0,3.0,8.0,Full Professor,Medicine,STEM
199183,1,0,False,True,False,True,1.0,3.0,9.0,Full Professor,Sociology,Non-STEM
199202,2,2,True,True,True,False,0.0,2.0,5.0,Full Professor,Economics,Non-STEM
199208,4,3,True,True,True,False,0.0,1.0,4.0,Associate Professor,Chemistry,STEM
199228,2,1,True,True,False,True,1.0,2.0,7.0,Full Professor,Psychology,Non-STEM
199249,2,1,False,True,False,True,1.0,3.0,9.0,Associate Professor,Sociology,Non-STEM
199298,3,1,False,True,False,True,1.0,2.0,7.0,Associate Professor,Biology,STEM
199322,2,1,True,True,True,False,1.0,2.0,6.0,Full Professor,Chemistry,STEM
199329,3,1,True,True,False,True,0.0,1.0,4.0,Full Professor,Biology,STEM
199456,1,0,True,True,True,False,0.0,2.0,5.0,Full Professor,Engineering,STEM
199457,2,1,True,True,False,True,0.0,2.0,7.0,Associate Professor,Computer science,STEM
199501,0,0,False,False,False,True,0.0,1.0,2.0,Associate Professor,Philosophy,Non-STEM
199522,4,2,True,True,True,False,0.0,2.0,5.0,Full Professor,Chemistry,STEM
199636,2,1,False,True,True,True,0.0,2.0,5.0,Full Professor,Biology,STEM
199653,0,0,False,True,False,True,0.0,,,Associate Professor,Business,Non-STEM
199679,5,0,True,True,False,True,0.0,1.0,2.0,Full Professor,Engineering,STEM
