field,venue_db_id,jif,unscaled_rank,scaled_rank,normed_rank,prob_upset_top,n_selected,frac_selected,ordinal_porc,ordinal_jif,subset_ordinal_porc,subset_ordinal_jif
Philosophy,1655221,1.0,0.056952222807211114,0.18260501707269872,0.41638107669641267,0.0002794135010698,1,0.008695652173913,118.0,198.0,118.0,
Philosophy,1669550,,0.13636570705547923,0.43722722376067685,0.47696875605731726,0.0005689898021776,1,0.008695652173913,60.0,,60.0,
Philosophy,1661351,,0.16872226986678615,0.5409715626703855,0.5016548540341252,0.0008756494112918,1,0.008695652173913,46.0,,46.0,
Philosophy,1649056,10.5,0.09857242554634488,0.3160512191195555,0.44813477095079207,0.0004314910953781,1,0.008695652173913,84.0,22.0,84.0,
Philosophy,1649041,,0.01622315654755771,0.052016051917200073,0.385307265610448,0.000181201832922,1,0.008695652173913,166.0,,166.0,
Philosophy,1671561,0.7,-0.009169935861297742,-0.029401421261047063,0.36593387385698,0.0001560339365357,1,0.008695652173913,191.0,240.5,191.0,
Philosophy,1651074,1.8,-0.026284079575574677,-0.08427423133044554,0.35287681860103126,0.0001193143288388,1,0.008695652173913,211.0,120.0,211.0,
Philosophy,1655137,1.5,-0.07855131498165728,-0.25185784691606955,0.31300008318460587,6.816729041018333e-05,1,0.008695652173913,273.0,142.5,273.0,
Philosophy,1657182,,0.06170110865235449,0.19783129513675532,0.4200041890133031,0.0002965453717404,1,0.008695652173913,115.0,,115.0,
Philosophy,1681745,2.2,0.02923157917797635,0.09372475299033378,0.39523190431360533,0.0002122423949108,1,0.008695652173913,146.0,95.0,146.0,
Philosophy,1659213,0.9,0.018522514141428095,0.05938844603966052,0.38706153621011025,0.0001903404221087,1,0.008695652173913,162.0,208.5,162.0,
Philosophy,1655110,0.6,-0.10048804611951186,-0.3221932432623547,0.2962636857706404,5.693421406142324e-05,1,0.008695652173913,295.0,256.5,295.0,
Philosophy,1698256,,0.031393546534846876,0.10065663495477176,0.3968813544825125,0.0002450870704558,1,0.008695652173913,142.0,,142.0,
Philosophy,1651169,5.4,0.35998093383643986,1.1542012116290228,0.6475736324038212,0.0060287248840696,1,0.008695652173913,15.0,39.0,15.0,
Philosophy,1647179,4.3,-0.051445244967806086,-0.16494808055965707,0.33368037311621485,9.83574564127905e-05,1,0.008695652173913,241.0,48.0,241.0,
Philosophy,1683947,,-0.11308727324281546,-0.3625899472108854,0.28665123845935675,5.0382010105125666e-05,1,0.008695652173913,308.0,,308.0,
Philosophy,1657417,2.9,-0.15125499391419595,-0.4849665102541975,0.2575315789473186,3.3697560561632736e-05,1,0.008695652173913,331.0,69.5,331.0,
Philosophy,1667651,0.9,-0.05360895537851815,-0.17188555125023783,0.3320295931027824,9.057821625747464e-05,1,0.008695652173913,246.0,208.5,246.0,
Philosophy,1684035,,-0.17679601503688802,-0.5668582849431534,0.238045326543458,2.5489475750433528e-05,1,0.008695652173913,347.0,,347.0,
